"DATE","state","land_rig_count"
2008-01-11,"Alabama",1
2008-01-18,"Alabama",2
2008-01-25,"Alabama",3
2008-02-01,"Alabama",3
2008-02-08,"Alabama",3
2008-02-15,"Alabama",3
2008-02-22,"Alabama",3
2008-02-29,"Alabama",3
2008-03-07,"Alabama",3
2008-03-14,"Alabama",5
2008-03-21,"Alabama",5
2008-03-28,"Alabama",5
2008-04-04,"Alabama",5
2008-04-11,"Alabama",6
2008-04-18,"Alabama",5
2008-04-25,"Alabama",6
2008-05-02,"Alabama",6
2008-05-09,"Alabama",6
2008-05-16,"Alabama",6
2008-05-23,"Alabama",5
2008-05-30,"Alabama",5
2008-06-06,"Alabama",3
2008-06-13,"Alabama",3
2008-06-20,"Alabama",3
2008-06-27,"Alabama",3
2008-07-04,"Alabama",4
2008-07-11,"Alabama",4
2008-07-18,"Alabama",4
2008-07-25,"Alabama",2
2008-08-01,"Alabama",2
2008-08-08,"Alabama",4
2008-08-15,"Alabama",7
2008-08-22,"Alabama",7
2008-08-29,"Alabama",6
2008-09-05,"Alabama",5
2008-09-12,"Alabama",5
2008-09-19,"Alabama",4
2008-09-26,"Alabama",4
2008-10-03,"Alabama",3
2008-10-10,"Alabama",3
2008-10-17,"Alabama",4
2008-10-24,"Alabama",4
2008-10-31,"Alabama",4
2008-11-07,"Alabama",4
2008-11-14,"Alabama",3
2008-11-21,"Alabama",3
2008-11-26,"Alabama",3
2008-12-05,"Alabama",3
2008-12-12,"Alabama",3
2008-12-19,"Alabama",2
2008-12-26,"Alabama",2
2009-01-02,"Alabama",1
2009-01-09,"Alabama",1
2009-01-16,"Alabama",1
2009-01-23,"Alabama",2
2009-01-30,"Alabama",2
2009-02-06,"Alabama",2
2009-02-13,"Alabama",1
2009-02-20,"Alabama",1
2009-02-27,"Alabama",1
2009-03-06,"Alabama",1
2009-03-13,"Alabama",1
2009-03-20,"Alabama",1
2009-03-27,"Alabama",1
2009-04-03,"Alabama",1
2009-04-09,"Alabama",1
2009-04-17,"Alabama",2
2009-04-24,"Alabama",2
2009-05-01,"Alabama",2
2009-05-08,"Alabama",2
2009-05-15,"Alabama",2
2009-05-22,"Alabama",2
2009-05-29,"Alabama",2
2009-06-05,"Alabama",2
2009-06-12,"Alabama",3
2009-06-19,"Alabama",3
2009-06-26,"Alabama",3
2009-07-02,"Alabama",3
2009-07-10,"Alabama",3
2009-07-11,"Alabama",3
2009-07-24,"Alabama",4
2009-07-31,"Alabama",2
2009-08-07,"Alabama",2
2009-08-14,"Alabama",2
2009-08-21,"Alabama",3
2009-08-28,"Alabama",3
2009-09-04,"Alabama",3
2009-09-11,"Alabama",3
2009-09-18,"Alabama",4
2009-09-25,"Alabama",5
2009-10-02,"Alabama",6
2009-10-09,"Alabama",6
2009-10-16,"Alabama",6
2009-10-23,"Alabama",6
2009-10-30,"Alabama",5
2009-11-06,"Alabama",4
2009-11-13,"Alabama",4
2009-11-20,"Alabama",4
2009-11-25,"Alabama",4
2009-12-04,"Alabama",4
2009-12-11,"Alabama",5
2009-12-18,"Alabama",5
2009-12-23,"Alabama",5
2009-12-31,"Alabama",5
2010-01-08,"Alabama",3
2010-01-15,"Alabama",2
2010-01-22,"Alabama",2
2010-01-29,"Alabama",3
2010-02-05,"Alabama",3
2010-02-12,"Alabama",4
2010-02-19,"Alabama",4
2010-02-26,"Alabama",4
2010-03-05,"Alabama",4
2010-03-12,"Alabama",4
2010-03-19,"Alabama",4
2010-03-26,"Alabama",4
2010-04-01,"Alabama",4
2010-04-09,"Alabama",5
2010-04-16,"Alabama",5
2010-04-23,"Alabama",5
2010-04-30,"Alabama",4
2010-05-07,"Alabama",4
2010-05-14,"Alabama",3
2010-05-21,"Alabama",3
2010-05-28,"Alabama",3
2010-06-04,"Alabama",3
2010-06-11,"Alabama",3
2010-06-18,"Alabama",3
2010-06-25,"Alabama",6
2010-07-02,"Alabama",7
2010-07-09,"Alabama",7
2010-07-16,"Alabama",8
2010-07-23,"Alabama",8
2010-07-30,"Alabama",6
2010-08-06,"Alabama",5
2010-08-13,"Alabama",5
2010-08-20,"Alabama",5
2010-08-27,"Alabama",5
2010-09-03,"Alabama",5
2010-09-10,"Alabama",5
2010-09-17,"Alabama",5
2010-09-24,"Alabama",5
2010-10-01,"Alabama",5
2010-10-08,"Alabama",2
2010-10-15,"Alabama",7
2010-10-22,"Alabama",8
2010-10-29,"Alabama",8
2010-11-05,"Alabama",6
2010-11-12,"Alabama",7
2010-11-19,"Alabama",7
2010-11-24,"Alabama",8
2010-12-03,"Alabama",8
2010-12-10,"Alabama",7
2010-12-17,"Alabama",6
2010-12-22,"Alabama",6
2010-12-30,"Alabama",7
2011-01-07,"Alabama",7
2011-01-14,"Alabama",7
2011-01-21,"Alabama",7
2011-01-28,"Alabama",8
2011-02-04,"Alabama",8
2011-02-11,"Alabama",8
2011-02-18,"Alabama",8
2011-02-25,"Alabama",8
2011-03-04,"Alabama",6
2011-03-11,"Alabama",7
2011-03-18,"Alabama",7
2011-03-25,"Alabama",6
2011-04-01,"Alabama",6
2011-04-08,"Alabama",6
2011-04-15,"Alabama",5
2011-04-21,"Alabama",5
2011-04-29,"Alabama",5
2011-05-06,"Alabama",6
2011-05-13,"Alabama",6
2011-05-20,"Alabama",6
2011-05-27,"Alabama",5
2011-06-03,"Alabama",5
2011-06-10,"Alabama",5
2011-06-17,"Alabama",7
2011-06-24,"Alabama",8
2011-07-01,"Alabama",8
2011-07-08,"Alabama",8
2011-07-15,"Alabama",8
2011-07-22,"Alabama",8
2011-07-29,"Alabama",8
2011-08-05,"Alabama",8
2011-08-12,"Alabama",7
2011-08-19,"Alabama",8
2011-08-26,"Alabama",8
2011-09-02,"Alabama",7
2011-09-09,"Alabama",7
2011-09-16,"Alabama",7
2011-09-23,"Alabama",7
2011-09-30,"Alabama",7
2011-10-07,"Alabama",7
2011-10-14,"Alabama",8
2011-10-21,"Alabama",7
2011-10-28,"Alabama",6
2011-11-04,"Alabama",6
2011-11-11,"Alabama",6
2011-11-18,"Alabama",4
2011-11-25,"Alabama",3
2011-12-02,"Alabama",3
2011-12-09,"Alabama",3
2011-12-16,"Alabama",5
2011-12-22,"Alabama",6
2011-12-29,"Alabama",6
2012-01-06,"Alabama",6
2012-01-13,"Alabama",6
2012-01-20,"Alabama",6
2012-01-27,"Alabama",6
2012-02-03,"Alabama",6
2012-02-10,"Alabama",5
2012-02-17,"Alabama",5
2012-02-24,"Alabama",4
2012-03-02,"Alabama",3
2012-03-09,"Alabama",3
2012-03-16,"Alabama",3
2012-03-23,"Alabama",3
2012-03-30,"Alabama",4
2012-04-05,"Alabama",4
2012-04-13,"Alabama",6
2012-04-20,"Alabama",5
2012-04-27,"Alabama",6
2012-05-04,"Alabama",6
2012-05-11,"Alabama",5
2012-05-18,"Alabama",6
2012-05-25,"Alabama",6
2012-06-01,"Alabama",5
2012-06-08,"Alabama",6
2012-06-15,"Alabama",7
2012-06-22,"Alabama",8
2012-06-29,"Alabama",9
2012-07-06,"Alabama",9
2012-07-13,"Alabama",8
2012-07-20,"Alabama",6
2012-07-27,"Alabama",5
2012-08-03,"Alabama",6
2012-08-10,"Alabama",6
2012-08-17,"Alabama",6
2012-08-24,"Alabama",6
2012-08-31,"Alabama",6
2012-09-07,"Alabama",4
2012-09-14,"Alabama",4
2012-09-21,"Alabama",5
2012-09-28,"Alabama",5
2012-10-05,"Alabama",5
2012-10-12,"Alabama",4
2012-10-19,"Alabama",4
2012-10-26,"Alabama",4
2012-11-02,"Alabama",5
2012-11-09,"Alabama",5
2012-11-16,"Alabama",5
2012-11-21,"Alabama",5
2012-11-30,"Alabama",5
2012-12-07,"Alabama",6
2012-12-14,"Alabama",6
2012-12-21,"Alabama",7
2012-12-28,"Alabama",7
2013-01-04,"Alabama",5
2013-01-11,"Alabama",5
2013-01-18,"Alabama",5
2013-01-25,"Alabama",6
2013-02-01,"Alabama",5
2013-02-08,"Alabama",6
2013-02-15,"Alabama",4
2013-02-22,"Alabama",3
2013-03-01,"Alabama",4
2013-03-08,"Alabama",4
2013-03-15,"Alabama",3
2013-03-22,"Alabama",4
2013-03-28,"Alabama",5
2013-04-05,"Alabama",6
2013-04-12,"Alabama",5
2013-04-19,"Alabama",4
2013-04-26,"Alabama",4
2013-05-03,"Alabama",5
2013-05-10,"Alabama",6
2013-05-17,"Alabama",6
2013-05-24,"Alabama",6
2013-05-31,"Alabama",6
2013-06-07,"Alabama",5
2013-06-14,"Alabama",7
2013-06-21,"Alabama",7
2013-06-28,"Alabama",8
2013-07-03,"Alabama",7
2013-07-12,"Alabama",5
2013-07-19,"Alabama",5
2013-07-26,"Alabama",5
2013-08-02,"Alabama",5
2013-08-09,"Alabama",5
2013-08-16,"Alabama",6
2013-08-23,"Alabama",7
2013-08-30,"Alabama",7
2013-09-06,"Alabama",7
2013-09-13,"Alabama",6
2013-09-20,"Alabama",5
2013-09-27,"Alabama",4
2013-10-04,"Alabama",4
2013-10-11,"Alabama",3
2013-10-18,"Alabama",2
2013-10-25,"Alabama",3
2013-11-01,"Alabama",2
2013-11-08,"Alabama",2
2013-11-15,"Alabama",5
2013-11-22,"Alabama",5
2013-11-27,"Alabama",5
2013-12-06,"Alabama",4
2013-12-13,"Alabama",5
2013-12-20,"Alabama",5
2013-12-27,"Alabama",5
2014-01-03,"Alabama",4
2014-01-10,"Alabama",5
2014-01-17,"Alabama",4
2014-01-24,"Alabama",5
2014-01-31,"Alabama",5
2014-02-07,"Alabama",5
2014-02-14,"Alabama",5
2014-02-21,"Alabama",5
2014-02-28,"Alabama",5
2014-03-07,"Alabama",5
2014-03-14,"Alabama",5
2014-03-21,"Alabama",5
2014-03-28,"Alabama",4
2014-04-04,"Alabama",4
2014-04-11,"Alabama",5
2014-04-17,"Alabama",5
2014-04-25,"Alabama",5
2014-05-02,"Alabama",5
2014-05-09,"Alabama",5
2014-05-16,"Alabama",5
2014-05-23,"Alabama",7
2014-05-30,"Alabama",7
2014-06-06,"Alabama",7
2014-06-13,"Alabama",7
2014-06-20,"Alabama",7
2014-06-27,"Alabama",6
2014-07-03,"Alabama",6
2014-07-11,"Alabama",6
2014-07-18,"Alabama",6
2014-07-25,"Alabama",6
2014-08-01,"Alabama",6
2014-08-08,"Alabama",6
2014-08-15,"Alabama",6
2014-08-22,"Alabama",6
2014-08-29,"Alabama",6
2014-09-05,"Alabama",6
2014-09-12,"Alabama",4
2014-09-19,"Alabama",4
2014-09-26,"Alabama",4
2014-10-03,"Alabama",3
2014-10-10,"Alabama",5
2014-10-17,"Alabama",6
2014-10-24,"Alabama",7
2014-10-31,"Alabama",9
2014-11-07,"Alabama",9
2014-11-14,"Alabama",10
2014-11-21,"Alabama",8
2014-11-26,"Alabama",8
2014-12-05,"Alabama",7
2014-12-12,"Alabama",6
2014-12-19,"Alabama",6
2014-12-26,"Alabama",6
2015-01-02,"Alabama",6
2015-01-09,"Alabama",4
2015-01-16,"Alabama",7
2015-01-23,"Alabama",8
2015-01-30,"Alabama",7
2015-02-06,"Alabama",7
2015-02-13,"Alabama",5
2015-02-20,"Alabama",5
2015-02-27,"Alabama",5
2015-03-06,"Alabama",3
2015-03-13,"Alabama",2
2015-03-20,"Alabama",2
2015-03-27,"Alabama",2
2015-04-02,"Alabama",2
2015-04-10,"Alabama",2
2015-04-17,"Alabama",2
2015-04-24,"Alabama",4
2015-05-01,"Alabama",4
2015-05-08,"Alabama",4
